Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Sony PlayStation 4","Games","Owned","Fallout 4","United States of America","Official","Bethesda Softworks","Bethesda Softworks","Action, Adventure, RPG","14 abr 2021","Boxed","9,41","12,84","22,47","12,84","-1.0",1.0,1.0,?,"","","87",
"Sony PlayStation 4","Games","Owned","Far Cry Primal [Deluxe Edition]","United States of America","Official","Ubisoft","Ubisoft Montreal","Action, Adventure, First-person shooter","14 abr 2021","CIB","14,89","15,49","40,5","15,49","-1.0",1.0,1.0,1.0,"","","76",
"Sony PlayStation 4","Games","Owned","FIFA 14","United States of America","Official","EA Sports","EA Canada","Sports","14 abr 2021","Boxed","12,44","12,57","32,02","12,57","-1.0",1.0,1.0,?,"","","87",
"Sony PlayStation 4","Games","Owned","FIFA 17","United Kingdom","Official","Electronic Arts","EA Canada","Sports","14 abr 2021","Boxed","4,19","4,54","8,61","4,54","-1.0",1.0,1.0,?,"","","85",
"Sony PlayStation 4","Games","Owned","Final Fantasy XV [Deluxe Edition]","United States of America","Official","Square Enix","Square Enix","RPG","14 abr 2021","CIB","12,49","13","24,62","13","-1.0",1.0,1.0,1.0,"","","81",
"Sony PlayStation 4","Games","Owned","God of War","United States of America","Official","Sony Computer Entertainment America, Inc.","Sony Santa Monica Studio","Action, Adventure","19 abr 2021","Boxed","11,04","12,07","19,98","12,07","-1.0",?,?,?,"","","94",
"Sony PlayStation 4","Games","Owned","God of War III Remastered","United States of America","Official","Sony Computer Entertainment America","Sony Santa Monica Studio, Wholesale Algorithms","Action, Adventure","14 abr 2021","Boxed","13,99","15,49","26,47","15,49","-1.0",1.0,1.0,?,"","","81",
"Sony PlayStation 4","Games","Owned","Gran Turismo Sport","United States of America","Official","Sony Interactive Entertainment","Polyphony Digital Inc.","Racing","14 abr 2021","Boxed","11,25","12,38","17,13","12,38","-1.0",1.0,1.0,?,"","","75",
"Sony PlayStation 4","Games","Owned","Grand Theft Auto V","United States of America","Official","Rockstar Games","Rockstar North","Action, Adventure, Sandbox","14 abr 2021","Boxed","10,53","12,05","17,7","12,05","-1.0",1.0,1.0,?,"","","97",
"Sony PlayStation 4","Games","Owned","Guitar Hero Live [Guitar Bundle]","United States of America","Official","Activision","Freestyle Games","Music","14 abr 2021","Boxed","130,5","139,13","214,72","139,13","-1.0",1.0,0.9,?,"","","80",
"Sony PlayStation 4","Games","Owned","Horizon Zero Dawn","United States of America","Official","Sony Computer Entertainment","Guerrilla Games","Action, Adventure, RPG","14 abr 2021","Boxed","7,23","9,02","17,5","9,02","-1.0",1.0,1.0,?,"","","89",
"Sony PlayStation 4","Games","Owned","inFAMOUS: Second Son","United States of America","Official","Sony Computer Entertainment America, Inc.","Sucker Punch Productions","Action, Adventure, Sandbox","19 abr 2021","Boxed","12,48","12,79","35,63","12,79","-1.0",?,?,?,"","","80",
"Sony PlayStation 4","Games","Owned","Injustice: Gods Among Us - Ultimate Edition","United States of America","Official","High Voltage Software, Inc.","NetherRealm Studios","Action, Fighting","14 abr 2021","Boxed","8,52","9,55","15,5","9,55","-1.0",1.0,1.0,?,"","","80",
